 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34
3657,608.431,1666.142,1156.570,1904.418,1432.270,1243.214,1334.185,1371.579,1277.053,1148.471,2996.734,1483.845,1534.119,1629.263,2094.519,2275.598,2527.366,1634.575,1572.809,1461.879,1532.722,1864.794,1555.998,1325.594,1307.394,1186.903,1336.624,2434.957,3510.491,2654.200,3690.193,1060.271,961.866,2829.260
3658,620.996,1664.559,1157.062,1905.427,1425.918,1243.648,1329.120,1370.247,1270.313,1138.340,3000.080,1490.788,1533.995,1616.870,2083.074,2274.215,2522.388,1631.764,1569.016,1462.324,1528.910,1851.405,1542.805,1323.631,1308.865,1183.451,1331.998,2431.521,3506.415,2664.214,3666.286,1059.157,957.000,2820.731
3659,610.107,1667.369,1157.848,1910.418,1434.127,1242.607,1329.471,1371.135,1275.265,1140.995,3003.371,1489.322,1528.870,1619.364,2094.210,2266.783,2530.372,1633.440,1563.108,1456.950,1538.479,1863.600,1537.579,1321.025,1304.396,1185.314,1329.318,2440.365,3514.810,2666.337,3662.865,1056.275,956.942,2802.682
3660,616.217,1664.977,1159.756,1913.118,1437.491,1244.068,1328.041,1368.983,1264.616,1143.541,2999.609,1485.258,1533.865,1623.235,2095.487,2265.274,2534.595,1626.021,1565.785,1458.846,1533.920,1855.451,1534.948,1323.321,1310.339,1183.420,1337.292,2421.664,3515.839,2665.646,3679.449,1054.372,956.215,2825.913
3661,615.743,1671.379,1164.233,1923.360,1439.056,1252.050,1329.699,1375.560,1273.912,1143.170,3004.587,1489.831,1539.270,1628.952,2093.894,2278.247,2535.389,1641.051,1570.766,1469.513,1531.182,1859.621,1530.660,1330.823,1308.465,1192.027,1339.826,2448.067,3519.208,2658.068,3667.496,1064.190,960.785,2819.693
3662,611.391,1664.110,1162.131,1913.353,1434.412,1244.945,1328.982,1373.685,1268.922,1154.368,2991.123,1487.878,1539.841,1614.092,2086.383,2272.875,2524.057,1630.333,1566.589,1466.896,1527.210,1867.761,1525.076,1323.691,1306.916,1182.659,1340.545,2430.058,3503.296,2662.175,3668.838,1054.674,960.898,2817.174
3663,610.356,1665.825,1160.415,1916.112,1432.022,1240.909,1329.697,1375.174,1272.764,1156.673,2998.551,1483.097,1545.462,1621.990,2094.511,2269.625,2531.724,1639.471,1563.662,1467.927,1532.000,1856.220,1517.688,1327.444,1306.083,1182.436,1337.849,2435.641,3516.424,2627.267,3691.614,1054.487,954.435,2824.113
3664,612.016,1666.357,1158.671,1914.802,1433.718,1243.120,1329.645,1373.326,1269.849,1153.676,2996.854,1489.796,1543.434,1617.065,2097.078,2268.396,2526.194,1638.472,1564.679,1474.711,1525.436,1870.508,1518.950,1332.749,1309.389,1177.765,1341.615,2433.254,3533.066,2656.356,3674.060,1059.085,955.633,2826.850
3665,610.751,1665.542,1158.951,1920.061,1433.123,1245.746,1329.919,1378.165,1262.678,1137.301,2996.868,1489.793,1550.291,1613.691,2094.472,2264.986,2540.382,1635.508,1568.411,1469.382,1533.870,1865.931,1505.026,1325.786,1310.114,1180.705,1340.607,2442.691,3506.178,2653.608,3685.563,1059.334,960.546,2816.625
3666,613.097,1669.093,1161.320,1919.760,1431.385,1243.431,1329.070,1382.696,1278.742,1152.310,2994.905,1496.246,1546.714,1616.402,2096.081,2259.677,2543.991,1652.914,1569.157,1476.773,1538.667,1861.943,1490.968,1329.035,1316.887,1182.322,1344.671,2440.335,3517.748,2636.495,3680.561,1060.333,959.565,2807.401
3667,614.783,1665.251,1159.497,1922.078,1430.142,1242.065,1329.006,1378.410,1274.538,1151.979,2996.867,1488.796,1542.153,1611.317,2108.022,2271.747,2522.938,1646.749,1574.155,1468.623,1539.077,1860.918,1491.433,1327.166,1307.291,1186.167,1343.598,2425.505,3493.928,2652.162,3671.028,1054.790,962.190,2808.509
3668,611.609,1665.130,1158.865,1927.736,1431.966,1237.702,1334.160,1375.983,1274.241,1139.641,2996.647,1490.789,1555.387,1607.282,2115.790,2263.588,2535.451,1648.308,1558.784,1464.214,1535.204,1866.516,1491.000,1328.312,1319.779,1180.173,1345.155,2445.263,3515.088,2647.201,3674.760,1058.984,953.378,2822.176
3669,609.202,1664.710,1161.852,1920.805,1433.593,1245.991,1334.000,1380.642,1269.996,1157.305,2995.839,1499.986,1554.995,1606.673,2093.968,2262.684,2533.105,1644.136,1566.630,1467.063,1526.902,1877.504,1480.911,1327.936,1320.006,1182.464,1345.427,2445.357,3511.854,2639.175,3667.908,1062.599,961.743,2819.688
3670,609.267,1663.557,1160.406,1917.115,1435.949,1245.774,1334.423,1379.632,1271.480,1155.707,2993.762,1493.695,1552.338,1593.785,2104.134,2264.510,2537.095,1651.729,1565.385,1475.968,1532.200,1879.474,1479.711,1325.420,1324.559,1183.925,1346.920,2464.366,3498.665,2656.867,3701.198,1061.243,959.375,2810.252
3671,608.652,1664.940,1158.818,1928.703,1433.724,1244.089,1328.298,1387.295,1272.113,1152.328,3004.308,1495.251,1561.059,1608.375,2114.674,2272.589,2542.771,1635.985,1564.648,1466.469,1536.265,1870.216,1466.957,1333.220,1321.256,1184.755,1333.602,2460.107,3500.601,2643.563,3670.649,1059.640,963.039,2802.774
3672,611.573,1662.899,1158.525,1918.955,1432.360,1246.485,1330.372,1381.088,1272.619,1146.120,2999.219,1497.005,1556.967,1597.076,2106.409,2269.205,2536.416,1640.592,1565.638,1472.044,1536.548,1881.564,1467.523,1320.922,1320.623,1182.672,1334.602,2454.193,3507.072,2640.920,3697.724,1055.868,960.262,2819.544
3673,619.820,1661.898,1158.844,1909.149,1431.776,1236.382,1329.064,1384.884,1270.887,1145.709,2998.906,1493.455,1551.253,1591.251,2115.077,2265.859,2537.650,1644.990,1561.114,1471.056,1533.593,1878.683,1450.776,1328.654,1325.358,1180.849,1338.003,2460.029,3478.673,2630.143,3653.445,1059.706,958.078,2808.003
3674,610.413,1661.326,1156.748,1923.825,1427.839,1238.409,1326.732,1394.743,1273.683,1152.041,3000.400,1496.715,1554.464,1584.661,2111.952,2271.144,2539.453,1645.041,1562.927,1474.601,1533.042,1876.706,1451.282,1324.520,1329.315,1180.748,1341.347,2462.753,3491.302,2632.367,3684.459,1061.446,961.300,2816.865
3675,610.219,1661.222,1159.134,1921.037,1430.716,1245.951,1326.102,1386.488,1277.696,1150.781,2998.152,1502.036,1561.328,1590.725,2115.810,2258.494,2541.423,1636.004,1555.403,1464.828,1538.007,1875.782,1433.312,1333.448,1322.677,1178.127,1332.534,2464.208,3511.538,2637.965,3654.554,1062.199,957.665,2816.814
3676,611.644,1656.330,1157.088,1925.314,1431.253,1238.951,1319.999,1388.805,1270.909,1135.520,2996.942,1491.706,1556.032,1574.831,2108.110,2269.107,2541.971,1631.275,1550.984,1469.208,1529.287,1872.134,1435.691,1317.955,1322.535,1173.211,1343.551,2448.817,3509.638,2624.076,3677.018,1059.369,953.851,2801.738
3677,609.897,1658.650,1156.118,1922.673,1430.068,1234.637,1319.370,1389.177,1266.050,1141.313,3000.926,1492.397,1549.814,1580.251,2120.698,2255.423,2541.739,1627.444,1555.297,1472.641,1532.163,1873.456,1427.410,1324.298,1327.838,1170.815,1329.741,2455.798,3501.552,2626.729,3664.951,1055.812,955.396,2807.325
3678,612.208,1658.469,1156.903,1925.034,1423.582,1233.300,1325.560,1386.192,1266.258,1134.425,2991.867,1492.476,1555.533,1573.738,2120.434,2247.050,2541.107,1624.358,1556.023,1465.289,1540.285,1880.096,1420.073,1326.357,1330.413,1169.163,1339.750,2463.895,3511.093,2622.702,3673.708,1055.054,958.108,2813.135
3679,609.158,1666.333,1162.127,1928.363,1437.098,1239.131,1330.717,1395.727,1280.046,1153.038,2999.437,1507.028,1567.436,1573.020,2126.519,2266.741,2546.845,1628.662,1560.825,1473.759,1546.553,1879.286,1417.680,1335.852,1335.948,1171.138,1337.941,2476.946,3516.476,2653.307,3694.054,1064.657,960.917,2823.524
3680,616.018,1661.786,1155.907,1919.356,1433.778,1237.506,1330.142,1394.083,1271.709,1145.779,2998.878,1499.739,1569.927,1566.541,2116.729,2254.502,2534.526,1643.809,1561.851,1474.168,1536.022,1885.849,1406.958,1332.708,1327.651,1174.775,1335.989,2468.534,3508.666,2643.308,3665.802,1060.345,958.818,2810.905
3681,609.480,1654.287,1151.960,1919.527,1421.633,1240.481,1323.188,1392.630,1273.158,1147.986,2981.269,1492.080,1565.506,1562.496,2101.521,2254.019,2524.902,1629.297,1550.980,1467.298,1533.646,1871.614,1401.259,1321.291,1325.198,1167.786,1336.580,2455.180,3482.966,2628.602,3662.429,1061.614,954.336,2812.066
3682,611.585,1657.778,1157.516,1920.143,1424.623,1236.956,1330.966,1392.195,1269.117,1152.710,2989.079,1501.567,1574.667,1559.550,2108.530,2240.394,2538.379,1628.698,1554.742,1477.091,1541.567,1886.309,1391.496,1329.678,1328.471,1170.130,1339.660,2458.569,3497.918,2633.344,3653.386,1064.376,954.177,2829.025
3683,613.383,1660.673,1157.809,1937.740,1429.561,1241.444,1330.364,1397.337,1275.959,1146.876,2992.148,1507.925,1570.211,1563.952,2113.521,2255.606,2547.116,1626.973,1552.726,1476.100,1537.754,1881.440,1389.618,1321.883,1334.263,1169.301,1341.097,2462.773,3528.443,2618.306,3680.338,1066.876,960.337,2824.345
