 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42
4920,665.671,1760.845,1624.659,1194.394,3401.830,2866.176,2330.423,1374.366,1975.331,1632.115,1301.835,1431.970,1112.219,1302.635,1497.494,2325.745,2682.342,2357.227,1958.117,1621.766,1420.732,1308.044,1695.940,3097.800,1663.152,1952.840,1895.198,1747.544,1469.841,1090.602,1159.975,1199.473,1112.224,1076.095,1269.815,1005.630,939.329,1085.611,910.704,1177.997,4433.691,1799.364
4921,661.689,1761.642,1618.910,1188.121,3410.479,2876.653,2336.077,1374.756,1961.509,1631.189,1297.235,1432.561,1114.605,1298.089,1494.086,2327.147,2712.277,2385.748,1967.369,1615.738,1423.848,1304.363,1700.333,3107.469,1674.167,1945.584,1896.788,1752.037,1472.300,1093.921,1153.330,1199.272,1113.382,1074.510,1271.116,1005.561,936.316,1081.871,909.434,1183.335,4440.768,1801.790
4922,669.969,1751.213,1612.225,1191.747,3402.347,2874.032,2319.377,1372.158,1965.638,1626.956,1304.789,1430.526,1112.314,1287.491,1497.477,2330.822,2727.320,2361.209,1972.275,1617.576,1427.575,1306.288,1693.380,3104.077,1675.457,1959.056,1890.000,1754.168,1463.418,1091.154,1154.527,1197.590,1107.276,1074.337,1281.070,1011.177,935.296,1097.529,912.712,1178.153,4440.424,1806.484
4923,667.274,1759.576,1616.642,1183.965,3413.638,2869.451,2335.856,1374.718,1965.730,1623.470,1300.800,1424.664,1109.668,1296.970,1491.518,2311.690,2748.793,2371.258,1986.605,1614.974,1423.526,1309.678,1689.543,3093.158,1676.244,1950.945,1894.594,1747.295,1468.055,1091.779,1152.075,1199.509,1108.129,1078.427,1284.534,1002.726,932.276,1086.884,912.870,1180.487,4467.704,1801.964
4924,663.521,1759.054,1611.134,1191.037,3424.342,2874.130,2330.247,1382.504,1965.961,1634.350,1299.583,1424.482,1113.886,1302.887,1493.316,2327.810,2772.051,2376.469,1995.244,1619.391,1424.327,1303.544,1695.369,3093.541,1677.400,1947.631,1893.443,1751.221,1470.357,1093.129,1156.989,1203.431,1115.311,1084.641,1286.163,1014.330,937.358,1092.995,906.497,1178.380,4464.482,1806.589
4925,669.494,1762.051,1615.196,1190.615,3416.489,2876.984,2326.374,1377.526,1965.860,1620.639,1296.663,1428.118,1115.590,1297.769,1491.955,2320.226,2787.642,2382.184,2008.400,1619.496,1425.333,1309.253,1699.698,3093.493,1681.024,1965.071,1903.341,1743.653,1473.836,1103.056,1157.542,1188.477,1111.648,1076.275,1277.315,1020.758,935.914,1094.299,914.167,1179.055,4510.703,1815.656
4926,668.433,1758.590,1609.668,1185.424,3414.316,2878.091,2329.136,1383.530,1971.109,1634.981,1300.134,1426.206,1118.454,1296.800,1491.580,2298.109,2801.932,2368.573,2011.595,1620.236,1426.649,1307.626,1697.412,3092.396,1689.550,1961.667,1902.234,1741.280,1463.806,1094.734,1155.575,1205.650,1102.088,1077.894,1277.571,1014.162,938.228,1081.503,911.417,1182.561,4491.204,1815.963
4927,666.197,1764.750,1609.401,1193.075,3421.166,2871.071,2319.835,1379.934,1967.346,1625.074,1293.305,1422.521,1115.874,1287.464,1484.849,2305.613,2802.943,2372.921,2011.688,1624.086,1423.390,1301.071,1692.569,3092.982,1697.513,1952.613,1895.389,1748.286,1464.308,1091.918,1155.926,1192.359,1107.782,1079.277,1277.502,1013.693,928.882,1085.121,913.974,1183.873,4464.535,1811.228
4928,672.113,1763.050,1607.754,1188.056,3419.777,2870.828,2327.984,1381.386,1959.910,1619.477,1296.326,1421.036,1112.232,1293.751,1485.563,2289.707,2817.133,2373.008,2024.772,1618.812,1432.050,1316.954,1684.260,3091.727,1689.390,1957.902,1897.732,1741.237,1466.429,1095.092,1150.152,1195.564,1100.633,1080.955,1285.135,1009.216,932.407,1083.131,914.425,1174.531,4513.762,1823.426
4929,664.719,1762.054,1612.203,1187.856,3427.162,2877.904,2337.975,1382.661,1948.974,1623.436,1296.715,1426.856,1112.174,1297.641,1478.678,2261.003,2819.173,2361.050,2033.144,1626.762,1427.674,1306.124,1691.597,3092.039,1693.501,1951.755,1900.448,1746.565,1472.970,1093.433,1157.894,1204.030,1109.118,1075.874,1292.595,1021.143,934.909,1091.679,909.938,1175.182,4519.040,1821.065
4930,668.149,1760.709,1610.634,1193.087,3423.580,2861.799,2332.337,1386.709,1964.678,1627.846,1298.612,1422.206,1115.146,1299.666,1487.141,2286.424,2820.156,2378.181,2045.649,1630.115,1426.079,1314.437,1688.735,3094.634,1704.529,1947.195,1888.196,1758.669,1464.528,1103.751,1156.623,1204.744,1107.708,1085.044,1292.127,1013.541,937.003,1091.019,916.338,1184.286,4463.074,1828.152
4931,667.369,1751.866,1600.585,1184.384,3417.287,2862.104,2322.539,1379.283,1950.569,1619.109,1287.177,1417.818,1107.733,1289.423,1481.353,2273.868,2815.832,2346.222,2039.968,1627.581,1414.777,1308.659,1686.308,3073.857,1689.041,1935.625,1893.471,1737.311,1460.763,1098.290,1147.154,1191.393,1094.222,1075.529,1284.551,1010.377,926.595,1083.269,912.386,1176.760,4441.273,1812.088
4932,663.642,1752.248,1587.755,1182.477,3415.332,2859.744,2311.949,1383.579,1948.171,1614.541,1287.840,1414.488,1110.103,1285.666,1478.049,2290.654,2809.641,2360.203,2044.142,1631.225,1417.448,1304.840,1682.070,3067.788,1689.510,1955.442,1881.372,1736.000,1463.007,1099.243,1151.695,1200.853,1087.176,1077.544,1288.093,1017.676,935.317,1082.396,905.071,1170.463,4433.526,1824.052
4933,670.453,1760.092,1589.588,1193.441,3422.778,2861.454,2313.606,1385.697,1941.053,1620.702,1292.286,1417.285,1110.120,1291.819,1477.517,2257.925,2806.764,2358.827,2051.099,1628.276,1419.320,1305.697,1680.447,3066.997,1695.142,1939.123,1887.693,1739.001,1469.785,1093.915,1150.803,1197.467,1096.875,1088.242,1302.770,1013.188,938.811,1082.052,912.051,1177.371,4456.618,1821.756
4934,661.140,1766.495,1595.985,1181.812,3423.398,2864.651,2313.303,1390.723,1944.417,1630.082,1292.868,1415.714,1109.546,1295.633,1476.432,2290.707,2807.833,2353.834,2059.701,1629.576,1415.741,1308.219,1681.848,3064.841,1698.351,1948.714,1896.572,1737.950,1462.406,1091.373,1154.734,1197.214,1093.255,1076.229,1301.419,1016.807,932.734,1085.432,916.348,1179.589,4469.290,1833.977
4935,674.537,1758.551,1593.095,1186.411,3431.899,2862.821,2321.764,1387.630,1947.984,1618.090,1293.902,1420.660,1108.876,1296.459,1479.849,2269.372,2790.726,2341.788,2054.036,1629.333,1418.145,1303.559,1685.767,3069.425,1701.319,1950.362,1891.176,1730.516,1467.843,1097.002,1153.907,1192.172,1099.657,1086.284,1303.877,1015.112,934.194,1083.560,913.867,1177.870,4467.708,1830.386
4936,664.302,1756.432,1592.204,1190.500,3437.280,2866.686,2315.959,1387.551,1930.963,1623.758,1288.679,1417.661,1108.843,1296.817,1478.678,2273.886,2800.708,2364.928,2056.037,1627.555,1415.943,1300.976,1679.447,3060.234,1693.847,1933.296,1890.606,1722.577,1466.049,1095.492,1151.166,1196.544,1092.301,1087.435,1297.443,1020.176,928.754,1077.736,911.464,1171.562,4455.971,1827.284
4937,668.652,1758.437,1595.064,1180.131,3446.636,2864.418,2323.820,1387.927,1927.988,1612.887,1286.708,1416.736,1108.231,1299.097,1478.243,2255.361,2786.748,2343.669,2057.771,1630.108,1414.627,1302.463,1694.901,3055.505,1685.623,1941.970,1897.722,1730.863,1460.920,1091.265,1151.671,1203.606,1093.724,1091.264,1304.840,1014.380,926.250,1065.921,913.680,1182.610,4449.879,1825.749
4938,668.233,1762.161,1591.806,1185.121,3459.516,2868.580,2317.313,1392.745,1932.577,1617.252,1287.864,1420.052,1113.398,1299.811,1474.403,2277.714,2783.137,2358.374,2057.334,1639.865,1425.312,1311.231,1690.133,3055.879,1697.402,1941.785,1907.717,1712.386,1476.743,1099.771,1158.219,1204.727,1097.045,1093.356,1317.270,1016.903,934.580,1080.616,921.701,1182.921,4443.464,1839.719
4939,672.639,1748.874,1590.935,1183.610,3454.801,2857.516,2314.340,1384.426,1936.966,1614.697,1288.464,1417.213,1107.324,1293.139,1465.813,2255.796,2769.755,2358.695,2061.782,1628.586,1415.900,1305.024,1685.453,3049.381,1691.854,1941.890,1913.561,1706.673,1464.114,1091.540,1145.352,1197.460,1098.637,1087.824,1294.372,1012.254,931.018,1078.386,910.361,1175.961,4443.008,1831.844
