 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30
6257,1101.648,3572.467,4918.177,2842.730,2427.780,1758.525,3160.171,2477.854,1918.809,3285.099,1852.349,2841.307,1878.551,2353.061,1702.179,2262.197,1634.426,1939.615,4939.349,2965.007,3258.511,3456.529,2654.581,2587.156,2127.530,2880.772,2181.228,1826.707,3511.409,2920.927
6258,1105.264,3553.834,4869.424,2826.822,2427.292,1779.183,3179.648,2477.253,1920.258,3313.852,1846.497,2821.289,1876.590,2341.987,1702.753,2242.777,1641.282,1926.761,4819.299,2944.981,3212.470,3363.495,2666.184,2558.500,2099.826,2869.781,2196.978,1836.046,3504.758,2932.156
6259,1127.403,3551.558,4746.098,2818.389,2416.048,1764.469,3150.620,2478.578,1912.088,3331.042,1849.901,2786.877,1878.900,2306.973,1717.453,2248.427,1623.511,1941.918,4730.667,2925.234,3141.695,3314.511,2654.924,2533.083,2117.271,2880.396,2197.088,1820.085,3497.340,2934.164
6260,1131.194,3554.303,4684.345,2823.471,2439.856,1765.046,3138.080,2512.614,1928.000,3283.547,1883.112,2761.243,1882.365,2321.320,1707.035,2265.569,1640.835,1938.784,4777.639,2932.848,3050.156,3270.859,2660.235,2505.658,2103.105,2887.699,2194.770,1834.205,3467.830,2933.351
6261,1106.718,3566.021,4606.232,2832.143,2446.925,1770.583,3139.178,2500.256,1926.058,3296.602,1859.773,2721.549,1893.647,2319.386,1690.352,2277.528,1651.289,1935.300,4702.787,2903.940,2972.852,3221.353,2668.886,2500.707,2134.180,2894.901,2190.464,1825.072,3458.609,2924.925
6262,1116.236,3551.015,4510.375,2808.908,2444.427,1761.736,3135.211,2493.840,1932.885,3300.401,1862.016,2694.098,1867.302,2307.964,1703.318,2286.536,1641.297,1947.828,4577.719,2874.992,2949.712,3137.778,2627.339,2478.042,2097.668,2865.410,2182.781,1812.265,3377.659,2894.489
6263,1111.361,3561.976,4427.470,2817.699,2416.086,1767.624,3134.998,2489.674,1922.537,3353.482,1847.471,2679.729,1876.246,2307.942,1712.049,2293.625,1630.630,1972.219,4481.421,2920.251,2906.716,3103.340,2653.896,2424.434,2129.333,2887.957,2183.909,1822.614,3339.210,2926.988
6264,1104.194,3545.075,4336.669,2801.262,2405.754,1761.561,3095.202,2494.950,1913.519,3365.413,1852.227,2653.282,1883.262,2305.123,1711.038,2296.851,1639.414,1961.184,4368.908,2871.938,2823.217,3037.726,2639.578,2432.712,2113.994,2870.744,2198.980,1829.910,3292.098,2928.985
6265,1130.782,3546.239,4275.986,2812.743,2420.105,1777.539,3131.828,2494.402,1912.662,3347.885,1853.909,2622.586,1890.949,2295.845,1721.240,2311.052,1625.181,1975.379,4393.499,2860.799,2781.029,3001.865,2652.892,2380.402,2103.517,2898.538,2199.857,1824.737,3199.783,2921.238
6266,1109.694,3564.400,4222.426,2839.592,2426.562,1779.337,3117.533,2507.890,1919.918,3365.695,1849.477,2593.365,1888.060,2306.346,1706.153,2303.462,1667.701,1964.819,4322.872,2864.184,2740.881,2966.881,2649.742,2383.612,2120.135,2885.260,2190.766,1829.016,3127.719,2948.864
6267,1121.556,3553.999,4149.111,2799.779,2425.577,1781.429,3137.134,2481.735,1929.557,3338.740,1861.865,2582.514,1886.597,2297.502,1695.422,2295.851,1664.485,1950.105,4230.549,2837.354,2705.144,2904.001,2636.373,2345.121,2111.061,2903.340,2196.209,1821.908,3040.599,2929.586
