 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34
63,678.142,1852.177,1355.004,1641.671,1699.881,1586.708,1348.154,1830.205,1351.265,1745.772,1729.916,1915.016,1639.076,1483.800,1917.505,1328.294,1424.164,1668.575,1446.078,1686.729,1178.899,1820.600,1127.901,2189.984,1459.848,1336.134,2504.721,1733.333,1722.263,1742.696,1863.822,2270.691,1531.412,2281.061
64,682.615,1860.469,1356.319,1642.336,1707.069,1592.406,1350.252,1838.381,1357.804,1734.181,1724.039,1919.927,1647.448,1481.012,1912.844,1325.062,1429.820,1671.986,1439.880,1683.652,1187.417,1823.430,1128.064,2211.905,1461.474,1344.056,2497.936,1732.306,1726.812,1754.724,1850.801,2289.356,1530.683,2279.407
65,668.346,1840.991,1349.201,1632.587,1699.051,1574.437,1335.790,1833.688,1345.741,1735.114,1715.834,1911.633,1637.094,1472.608,1903.231,1317.346,1426.341,1664.420,1432.290,1670.925,1175.763,1814.514,1119.822,2193.243,1451.707,1333.791,2493.651,1720.293,1720.380,1738.505,1844.013,2268.133,1534.658,2278.513
66,666.232,1844.854,1342.953,1632.334,1692.409,1577.820,1333.704,1824.017,1345.364,1720.040,1720.593,1915.268,1633.975,1470.985,1905.379,1320.301,1413.686,1668.567,1433.046,1680.810,1181.376,1806.558,1118.988,2186.825,1444.687,1333.849,2514.432,1730.063,1731.949,1745.206,1851.214,2285.196,1529.761,2271.072
67,669.385,1837.557,1347.840,1641.074,1691.794,1578.454,1335.983,1831.948,1350.917,1728.739,1719.551,1912.495,1636.038,1474.711,1909.440,1314.628,1424.083,1668.415,1437.696,1673.216,1175.884,1811.147,1125.169,2193.146,1446.103,1340.400,2493.359,1729.143,1731.565,1746.812,1864.166,2279.014,1531.925,2297.337
68,664.677,1838.571,1341.646,1632.017,1695.299,1584.356,1331.640,1828.723,1342.103,1725.362,1718.888,1911.164,1640.956,1468.217,1915.564,1303.706,1417.660,1654.966,1432.377,1666.102,1176.489,1807.795,1122.367,2187.881,1448.623,1327.389,2490.404,1723.151,1733.508,1732.346,1860.493,2276.533,1532.419,2257.933
69,673.251,1846.930,1345.613,1645.922,1696.662,1580.211,1340.302,1839.946,1350.426,1727.791,1727.407,1920.416,1642.519,1465.766,1915.810,1317.665,1426.642,1655.452,1435.104,1664.776,1181.065,1813.322,1128.984,2199.431,1447.094,1336.677,2480.992,1740.975,1732.635,1734.487,1859.499,2285.594,1543.485,2271.791
70,668.155,1838.795,1343.663,1641.031,1689.895,1581.251,1338.879,1825.289,1352.589,1720.706,1716.687,1922.390,1633.974,1477.929,1904.519,1320.004,1420.300,1657.053,1434.519,1676.580,1181.468,1801.973,1127.718,2205.388,1449.518,1338.115,2507.766,1722.612,1736.392,1738.721,1861.423,2288.833,1541.385,2259.968
71,668.474,1835.000,1342.897,1636.915,1686.471,1582.688,1335.398,1831.092,1342.833,1726.299,1722.551,1902.697,1638.067,1467.031,1903.542,1314.093,1416.215,1660.890,1434.961,1664.590,1181.325,1802.067,1127.877,2201.501,1452.697,1339.179,2494.075,1723.328,1731.630,1742.907,1867.516,2294.443,1535.824,2273.688
72,670.784,1851.826,1351.212,1655.315,1705.180,1587.210,1342.146,1827.661,1357.661,1730.842,1729.093,1924.599,1650.021,1470.810,1900.190,1319.521,1421.596,1672.816,1432.340,1676.094,1188.339,1802.441,1134.192,2211.561,1443.896,1340.291,2495.050,1729.271,1746.581,1739.193,1862.997,2287.441,1539.277,2287.203
73,667.672,1856.137,1343.104,1636.437,1703.414,1585.091,1339.198,1834.446,1361.130,1722.417,1726.318,1920.549,1634.644,1464.801,1920.304,1314.658,1423.892,1660.320,1428.273,1663.674,1184.151,1792.496,1132.426,2209.656,1455.070,1328.114,2485.596,1734.057,1738.048,1743.459,1862.069,2302.195,1541.353,2270.167
74,668.275,1852.484,1343.475,1638.058,1692.342,1579.339,1340.552,1815.897,1359.312,1725.272,1731.093,1925.998,1644.333,1471.551,1909.260,1310.948,1420.370,1659.901,1432.343,1673.258,1180.379,1798.251,1130.838,2212.391,1456.910,1328.970,2484.135,1735.316,1735.843,1751.065,1876.017,2291.032,1549.094,2278.341
75,674.358,1855.738,1352.331,1645.284,1699.766,1590.474,1335.727,1836.485,1358.644,1734.950,1725.787,1928.021,1642.756,1472.362,1910.733,1319.772,1429.520,1674.838,1426.049,1671.574,1190.270,1801.988,1135.230,2211.509,1450.361,1337.063,2495.113,1732.204,1747.266,1748.116,1875.932,2309.974,1541.358,2286.023
