 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14
81,735.059,1632.033,1409.239,1231.659,888.086,1093.194,1041.359,915.542,1214.617,1544.349,1562.997,1222.146,1479.658,1012.761
82,716.983,1632.566,1406.521,1229.613,888.501,1093.112,1039.562,917.496,1214.882,1541.244,1562.938,1221.320,1483.700,1010.355
83,737.331,1638.059,1412.348,1235.119,894.849,1094.656,1044.061,924.417,1215.834,1545.419,1559.270,1229.898,1489.068,1012.550
84,742.765,1636.039,1412.384,1229.152,889.054,1094.046,1042.263,917.428,1212.714,1542.639,1545.364,1222.910,1483.166,1010.858
85,729.801,1628.599,1411.343,1232.496,890.579,1094.686,1043.258,919.506,1216.777,1539.304,1539.215,1222.513,1488.372,1006.387
86,726.125,1626.630,1410.378,1228.225,887.407,1089.121,1039.870,916.085,1216.359,1540.528,1529.705,1217.639,1478.520,1006.738
87,734.051,1629.727,1413.222,1231.272,892.701,1093.010,1045.570,920.155,1215.292,1546.937,1527.382,1223.624,1484.109,1013.975
88,729.118,1631.745,1408.187,1231.865,887.798,1090.108,1039.422,917.569,1211.455,1540.918,1512.172,1214.798,1484.593,1005.696
89,728.510,1624.771,1408.017,1226.318,886.373,1089.510,1039.735,913.014,1211.409,1541.375,1510.259,1215.814,1481.913,1005.126
90,728.784,1630.865,1415.013,1232.984,889.635,1092.772,1039.889,917.129,1216.691,1542.552,1500.274,1228.540,1477.627,1007.665
91,725.049,1623.502,1413.525,1230.425,890.615,1094.043,1043.198,918.601,1213.699,1536.102,1500.059,1220.300,1488.576,1010.535
92,724.694,1625.683,1408.916,1223.403,883.714,1088.940,1038.431,915.678,1205.851,1530.007,1486.856,1220.410,1468.249,1004.532
93,727.708,1623.364,1407.439,1226.029,886.861,1087.019,1041.541,916.155,1209.947,1536.436,1488.911,1222.804,1476.695,1003.919
94,731.515,1627.909,1412.054,1230.254,888.080,1092.719,1041.046,917.969,1212.031,1538.134,1477.857,1226.013,1482.285,1003.754
95,728.772,1626.415,1409.417,1227.318,887.009,1088.202,1041.032,915.956,1212.253,1530.456,1474.723,1220.773,1472.988,1009.175
96,730.297,1626.995,1413.359,1230.533,888.422,1089.619,1042.925,917.632,1212.085,1532.711,1473.104,1223.110,1478.350,1013.621
97,730.512,1626.418,1410.219,1227.123,886.792,1087.705,1039.314,916.742,1209.997,1535.523,1477.572,1226.130,1483.637,1005.383
98,723.632,1624.821,1414.299,1234.109,888.268,1092.690,1044.277,918.409,1211.794,1534.967,1471.421,1227.947,1482.867,1010.559
99,729.542,1620.208,1411.030,1227.944,886.957,1086.717,1040.415,914.597,1206.475,1529.390,1457.530,1218.914,1479.870,1005.336
100,740.551,1623.431,1415.716,1230.229,889.507,1091.036,1042.008,916.945,1209.889,1533.792,1455.451,1221.218,1482.073,1007.549
101,725.333,1625.478,1413.932,1229.213,886.819,1090.716,1042.745,916.421,1208.586,1531.828,1451.160,1224.647,1486.187,1008.135
102,728.679,1625.447,1414.903,1232.459,889.404,1093.880,1044.426,920.401,1210.294,1541.240,1456.649,1225.503,1485.698,1011.782
103,725.809,1623.435,1415.331,1230.078,889.768,1093.123,1044.472,917.940,1211.011,1535.695,1445.146,1223.339,1479.234,1009.066
104,728.127,1620.160,1409.741,1227.018,887.008,1086.028,1041.904,916.038,1207.570,1532.317,1434.480,1224.604,1477.539,998.644
105,730.096,1623.499,1412.298,1226.827,885.911,1092.390,1041.843,917.799,1205.245,1532.592,1436.758,1218.312,1490.031,999.152
106,719.181,1623.125,1412.074,1230.168,888.240,1091.793,1045.343,918.263,1209.726,1530.283,1432.857,1225.736,1482.039,1005.858
107,721.542,1620.166,1411.609,1230.006,889.782,1090.133,1045.582,918.022,1207.761,1535.995,1433.618,1221.901,1489.049,1003.847
108,727.223,1616.801,1408.701,1230.225,887.881,1092.672,1041.706,918.635,1208.861,1532.530,1430.942,1226.931,1479.712,1005.506
109,730.821,1619.928,1412.045,1232.212,888.749,1091.908,1044.343,918.106,1209.446,1531.909,1421.416,1225.403,1482.291,998.659
110,732.556,1616.620,1408.057,1229.404,889.044,1091.203,1045.313,917.446,1205.687,1528.578,1419.120,1223.312,1482.526,1003.455
