 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18
6203,740.821,1072.679,1206.859,954.141,1305.545,1341.950,1459.457,1349.195,1252.264,1446.026,1222.949,1031.833,1041.275,842.152,868.734,944.178,896.492,1270.414
6204,740.182,1077.554,1211.008,958.057,1317.663,1345.757,1466.452,1361.168,1259.323,1455.055,1236.293,1040.438,1049.403,849.295,876.315,951.859,902.567,1272.849
6205,745.602,1081.048,1213.919,958.447,1314.867,1344.317,1463.859,1360.376,1255.009,1447.265,1233.411,1039.779,1049.379,844.447,871.458,950.622,900.545,1272.052
6206,733.520,1075.084,1213.611,955.295,1309.294,1347.095,1461.414,1363.014,1256.842,1447.236,1230.173,1037.097,1049.027,841.655,871.917,952.624,898.739,1274.498
6207,732.748,1077.068,1215.173,956.465,1312.929,1348.834,1466.376,1368.540,1259.726,1450.275,1231.333,1040.130,1043.550,843.410,870.287,953.359,903.811,1271.797
6208,734.000,1074.403,1209.533,953.180,1309.769,1337.364,1459.561,1363.769,1258.940,1452.949,1231.018,1035.736,1043.480,839.855,869.086,950.211,901.519,1271.813
6209,728.361,1072.832,1208.722,949.845,1308.486,1334.992,1461.850,1360.079,1256.914,1448.620,1226.747,1032.992,1041.663,837.294,865.465,946.876,898.946,1269.086
6210,741.549,1074.755,1212.891,957.334,1316.993,1340.693,1468.596,1368.638,1266.429,1448.288,1230.564,1038.662,1051.384,844.518,870.154,955.826,904.379,1275.295
6211,737.423,1074.232,1211.638,952.872,1308.540,1336.198,1459.465,1367.532,1260.163,1445.825,1226.577,1035.680,1043.980,841.088,865.969,952.749,899.882,1275.419
6212,741.510,1074.852,1208.664,952.980,1310.729,1337.626,1457.388,1369.327,1260.027,1453.339,1226.050,1031.725,1047.218,841.860,868.229,956.454,901.326,1273.853
6213,734.997,1074.659,1208.246,953.486,1309.320,1337.124,1457.323,1370.917,1262.217,1449.199,1225.444,1034.427,1046.715,840.156,865.170,956.550,898.867,1272.314
6214,730.134,1070.392,1208.603,949.569,1307.692,1335.429,1453.151,1364.118,1260.779,1448.698,1220.015,1032.015,1044.134,836.512,863.441,953.983,898.830,1271.546
6215,741.947,1072.865,1209.214,953.931,1311.386,1337.698,1457.455,1373.366,1261.222,1452.871,1224.133,1031.486,1045.068,843.243,867.450,958.345,904.532,1270.809
6216,739.818,1069.966,1207.588,954.027,1306.229,1336.049,1458.151,1365.717,1264.005,1456.193,1219.113,1030.804,1044.341,838.513,867.325,960.755,903.844,1271.707
6217,747.767,1072.261,1213.346,952.042,1308.567,1336.198,1459.218,1371.723,1267.494,1451.689,1220.551,1037.046,1046.813,842.075,867.940,961.728,906.662,1272.425
6218,739.621,1072.179,1211.077,952.086,1310.835,1337.442,1458.363,1373.696,1263.634,1451.277,1219.492,1035.842,1047.579,840.459,868.260,962.702,905.334,1274.544
6219,741.202,1073.047,1213.712,953.634,1311.260,1337.090,1458.372,1377.627,1270.421,1448.639,1222.483,1035.472,1046.987,843.425,867.747,964.253,903.926,1273.125
6220,740.279,1069.358,1207.372,949.963,1307.240,1328.810,1456.801,1369.627,1271.694,1448.727,1215.896,1031.993,1045.129,841.703,864.802,965.256,903.264,1274.750
6221,746.704,1072.006,1209.687,949.076,1308.097,1327.919,1458.444,1371.778,1271.729,1454.043,1219.348,1034.964,1045.919,840.928,865.735,966.070,903.470,1270.523
6222,738.372,1069.315,1209.057,949.958,1311.785,1326.670,1455.045,1369.947,1269.945,1441.039,1211.142,1033.771,1046.209,841.067,864.457,963.431,899.910,1270.292
6223,740.854,1070.826,1211.639,951.143,1311.757,1328.392,1459.229,1375.217,1271.683,1442.305,1217.269,1037.501,1049.015,843.689,868.185,971.862,906.478,1274.202
6224,737.213,1066.200,1201.697,947.187,1308.814,1321.222,1453.289,1374.463,1268.849,1441.544,1210.110,1034.083,1040.447,837.846,864.359,969.021,902.658,1271.149
6225,736.963,1070.272,1207.170,952.052,1311.483,1323.049,1456.153,1380.166,1272.921,1444.841,1213.937,1037.531,1046.152,839.875,867.122,970.184,905.565,1275.867
6226,738.497,1066.353,1209.454,947.078,1308.340,1324.146,1454.298,1376.736,1276.857,1442.121,1206.977,1036.711,1046.679,838.794,863.473,971.868,901.937,1274.560
6227,736.163,1067.758,1209.280,948.929,1314.157,1325.768,1453.454,1374.613,1275.415,1441.801,1203.823,1034.549,1045.673,841.744,865.753,975.358,905.350,1276.702
6228,743.862,1069.503,1214.081,951.025,1309.109,1326.931,1457.160,1377.909,1276.651,1447.863,1206.473,1039.412,1038.954,840.261,863.242,977.768,904.523,1273.445
6229,743.925,1067.210,1210.121,951.241,1312.578,1321.705,1458.469,1382.885,1274.349,1446.136,1205.892,1038.048,1048.309,840.194,864.873,977.289,904.741,1275.961
6230,734.599,1066.465,1208.152,946.993,1312.148,1320.349,1452.663,1378.864,1273.379,1443.059,1202.437,1036.577,1044.010,839.914,861.502,978.476,905.941,1274.680
6231,734.417,1060.842,1205.056,945.299,1306.735,1316.040,1451.739,1376.797,1268.229,1437.919,1197.878,1034.094,1045.253,834.055,859.001,974.868,902.755,1267.087
6232,741.444,1064.525,1209.627,949.619,1306.171,1321.602,1454.349,1386.531,1275.719,1451.269,1196.133,1038.498,1046.070,837.943,862.126,981.449,905.738,1274.953
6233,742.211,1064.660,1206.549,947.051,1306.074,1312.063,1452.394,1382.798,1276.779,1444.468,1194.381,1037.298,1039.421,839.721,859.945,979.013,907.531,1270.796
6234,740.020,1068.370,1212.482,949.050,1309.383,1314.035,1454.395,1383.651,1279.812,1437.423,1199.176,1037.123,1041.539,834.151,860.112,984.348,908.953,1272.948
6235,745.998,1063.432,1206.514,949.694,1307.020,1311.948,1457.155,1381.798,1280.649,1434.320,1193.807,1038.959,1047.921,836.626,861.639,986.700,904.844,1270.898
6236,745.636,1064.524,1207.889,945.974,1300.434,1316.069,1452.993,1378.181,1276.525,1439.800,1189.459,1038.872,1042.106,835.709,857.300,986.327,907.559,1270.812
6237,736.417,1062.760,1203.750,943.596,1305.892,1315.290,1453.237,1383.199,1276.121,1434.736,1192.452,1037.192,1044.800,833.828,855.940,985.046,906.130,1267.912
6238,745.342,1064.961,1208.708,950.138,1305.428,1317.869,1450.826,1385.780,1274.071,1437.641,1192.403,1039.321,1052.427,838.692,859.127,990.979,908.353,1274.574
6239,746.335,1067.524,1214.040,952.375,1308.167,1313.470,1457.972,1389.377,1278.699,1442.918,1189.860,1044.644,1048.906,840.291,860.906,993.373,910.399,1272.834
6240,737.520,1060.982,1208.310,944.632,1304.163,1310.198,1451.523,1388.092,1274.781,1432.479,1186.279,1036.712,1041.367,833.310,855.952,988.524,908.424,1266.447
6241,744.327,1063.102,1210.275,948.755,1310.280,1312.510,1453.215,1388.174,1275.791,1432.886,1184.838,1038.741,1046.870,837.693,855.814,993.744,905.486,1268.781
6242,737.310,1063.017,1207.972,947.853,1303.980,1306.843,1449.478,1388.433,1274.173,1430.382,1186.134,1039.534,1043.783,832.244,853.513,992.859,907.252,1267.534
6243,742.758,1062.467,1210.949,949.834,1304.846,1307.109,1451.935,1384.966,1279.305,1436.918,1181.898,1038.475,1046.863,834.774,857.321,997.620,907.914,1269.638
6244,740.546,1063.051,1206.356,945.941,1308.338,1309.147,1456.580,1386.830,1278.224,1431.996,1185.558,1038.974,1047.427,836.854,856.930,998.356,910.779,1268.554
6245,735.645,1065.794,1213.169,950.836,1305.703,1313.776,1456.600,1385.816,1282.557,1436.967,1182.117,1043.374,1047.516,838.601,857.025,1000.144,915.727,1274.605
6246,746.558,1056.802,1203.252,946.306,1304.017,1308.171,1453.083,1383.424,1273.641,1422.489,1175.204,1034.107,1039.450,832.341,851.787,993.200,905.399,1264.230
6247,741.184,1067.054,1213.491,949.756,1312.651,1313.429,1457.011,1393.173,1283.050,1439.682,1180.065,1040.522,1049.582,835.222,855.713,1000.275,912.323,1272.047
6248,737.121,1057.343,1203.463,945.310,1305.308,1302.673,1453.886,1383.266,1276.004,1430.266,1170.906,1038.381,1039.027,831.145,850.180,994.988,907.597,1263.779
6249,736.592,1062.207,1206.753,946.373,1309.498,1310.414,1457.838,1388.848,1278.494,1426.455,1176.045,1035.490,1042.862,832.782,850.917,998.837,911.155,1267.654
6250,737.429,1060.203,1208.797,947.058,1308.820,1304.672,1455.017,1389.392,1280.074,1429.869,1170.635,1034.575,1045.752,834.659,851.088,996.051,908.491,1267.752
6251,734.835,1061.982,1206.779,945.241,1306.452,1305.883,1454.058,1387.268,1275.609,1428.032,1170.652,1040.041,1043.543,831.933,849.852,998.762,907.634,1268.467
6252,744.248,1062.719,1209.842,949.811,1307.562,1303.170,1454.681,1390.638,1283.822,1426.386,1172.481,1039.995,1051.170,834.147,848.932,998.853,908.282,1269.009
6253,738.000,1063.998,1211.482,948.420,1311.014,1302.550,1457.323,1390.525,1284.728,1435.202,1171.974,1042.182,1045.349,836.294,851.821,997.202,912.111,1268.379
6254,741.401,1065.669,1217.296,953.365,1313.513,1307.517,1456.276,1399.434,1285.496,1431.341,1172.859,1039.675,1044.319,837.708,853.141,1003.388,915.474,1275.616
6255,732.243,1064.403,1210.177,949.647,1306.193,1304.513,1456.787,1392.020,1284.079,1428.020,1167.047,1037.941,1045.766,832.904,849.841,997.174,913.138,1269.263
6256,737.019,1058.919,1211.573,945.539,1312.160,1298.375,1450.245,1384.433,1276.356,1420.125,1162.100,1037.345,1042.889,829.213,846.060,995.274,910.101,1266.987
6257,737.560,1065.249,1213.880,950.281,1307.641,1301.714,1456.451,1390.689,1283.288,1424.544,1164.530,1041.438,1048.754,836.254,847.530,1000.144,914.883,1269.807
6258,741.867,1063.447,1215.151,947.604,1307.977,1301.033,1457.524,1389.861,1283.675,1428.098,1164.900,1041.131,1041.899,834.956,847.377,998.034,911.821,1268.828
6259,746.616,1064.187,1214.818,948.569,1312.620,1302.000,1455.507,1393.668,1282.437,1431.207,1163.562,1039.550,1041.991,834.731,844.655,997.119,913.395,1268.150
6260,738.151,1061.266,1216.008,950.919,1309.716,1294.299,1457.584,1387.482,1281.667,1429.031,1162.278,1040.687,1047.115,835.342,845.646,995.735,911.840,1263.550
6261,741.281,1065.494,1217.170,949.678,1308.941,1295.950,1455.705,1393.714,1285.676,1426.078,1164.503,1040.128,1045.093,836.422,844.398,995.870,912.032,1271.196
6262,731.850,1064.384,1217.804,953.332,1309.798,1293.367,1454.165,1392.058,1284.678,1427.053,1165.524,1040.252,1051.494,836.726,843.875,997.545,915.261,1270.697
6263,732.083,1063.846,1217.907,951.960,1306.936,1300.314,1455.049,1393.570,1284.034,1428.692,1157.489,1037.535,1048.159,834.602,844.293,995.495,910.855,1268.620
6264,743.556,1061.147,1216.718,951.906,1312.396,1294.572,1459.594,1398.449,1288.415,1424.797,1163.490,1038.740,1043.519,836.138,843.859,993.097,911.726,1269.994
6265,733.872,1062.068,1213.147,947.600,1306.739,1294.533,1454.696,1390.077,1284.630,1416.082,1154.843,1033.175,1043.401,831.209,840.567,992.425,910.246,1270.487
6266,736.350,1059.424,1214.591,944.071,1300.370,1290.121,1448.503,1386.938,1280.210,1421.122,1154.128,1035.689,1037.876,831.639,838.417,986.255,910.160,1263.012
6267,726.679,1065.482,1219.303,951.524,1305.298,1298.103,1456.789,1394.844,1284.613,1424.401,1161.265,1035.038,1048.327,834.845,842.480,987.376,914.231,1270.809
6268,737.182,1059.848,1215.703,946.857,1304.821,1287.944,1452.264,1389.107,1286.318,1419.482,1154.598,1031.869,1043.942,835.585,837.104,985.302,907.854,1264.070
6269,737.578,1061.460,1220.939,947.167,1304.092,1289.231,1453.422,1388.377,1283.342,1421.415,1155.609,1036.080,1041.963,831.160,837.835,978.602,907.216,1262.018
6270,727.029,1061.078,1217.307,951.255,1304.413,1290.948,1459.232,1391.712,1285.436,1420.963,1155.410,1035.394,1045.672,834.171,838.153,982.937,912.067,1265.570
