 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45
362,566.944,1487.167,1328.154,1304.664,1693.330,1610.913,1250.441,1331.496,1511.161,1449.186,1007.473,1667.342,1594.011,1117.674,1181.626,1570.928,1228.082,1740.410,1622.700,1383.370,1502.571,988.411,1711.982,1495.995,1529.335,1479.773,1774.545,1377.362,1062.831,1124.032,1268.914,1426.164,1078.552,932.313,1100.344,904.127,1269.514,1577.296,1180.177,1249.857,1222.773,1577.507,1368.410,1391.179,1206.332
363,569.399,1496.838,1333.676,1305.226,1685.870,1606.842,1251.933,1323.571,1518.659,1440.563,1007.478,1664.508,1601.964,1120.591,1184.028,1581.643,1231.899,1738.786,1631.771,1384.532,1498.242,994.588,1715.214,1501.744,1531.110,1488.855,1788.154,1368.326,1057.876,1129.193,1262.960,1426.894,1079.968,930.028,1102.044,912.892,1280.856,1581.340,1180.848,1242.040,1222.852,1580.095,1374.124,1378.812,1207.931
364,566.100,1490.615,1326.764,1295.990,1689.618,1613.886,1242.527,1321.595,1521.250,1454.853,1009.435,1661.400,1601.890,1118.075,1183.550,1576.302,1231.004,1745.275,1629.333,1384.092,1499.441,989.408,1707.220,1500.572,1521.305,1490.359,1795.336,1374.222,1060.549,1125.108,1261.341,1429.076,1073.434,927.888,1098.433,900.678,1275.332,1572.395,1184.236,1239.628,1227.184,1587.534,1377.604,1372.759,1204.909
365,569.239,1496.609,1333.116,1305.370,1691.523,1612.558,1248.969,1333.914,1510.605,1451.100,1015.643,1675.549,1610.054,1118.275,1187.158,1597.247,1241.478,1753.409,1627.195,1392.624,1498.304,997.893,1715.340,1501.067,1527.925,1507.405,1776.386,1379.427,1059.189,1133.595,1271.714,1438.229,1081.726,938.301,1104.350,908.268,1274.638,1590.027,1191.636,1249.752,1226.577,1592.429,1386.322,1389.028,1223.102
366,574.515,1505.741,1332.748,1302.450,1694.226,1613.987,1261.597,1336.841,1517.422,1459.687,1012.430,1672.829,1615.166,1123.823,1189.231,1594.949,1233.208,1738.624,1632.718,1394.044,1506.386,994.259,1714.297,1503.619,1533.318,1507.282,1797.283,1374.722,1059.193,1131.662,1269.155,1435.743,1083.689,935.142,1106.646,909.051,1281.954,1587.158,1184.253,1243.639,1231.352,1598.232,1373.890,1395.625,1221.175
367,568.590,1505.513,1339.345,1300.757,1699.623,1617.165,1254.597,1337.395,1510.756,1458.416,1010.869,1669.390,1610.521,1120.547,1179.195,1595.556,1236.652,1741.394,1631.402,1392.778,1497.112,994.285,1712.631,1503.478,1515.730,1509.767,1799.041,1381.241,1055.185,1127.478,1267.361,1425.948,1078.971,934.026,1097.865,909.143,1270.440,1590.321,1189.972,1245.061,1239.445,1594.385,1364.821,1385.424,1222.428
368,571.021,1503.565,1329.547,1292.750,1685.306,1608.872,1252.980,1331.720,1496.727,1455.913,1010.056,1659.144,1593.877,1119.825,1178.316,1592.298,1231.119,1739.950,1634.570,1391.388,1496.551,988.374,1705.276,1496.765,1533.011,1510.476,1796.807,1374.911,1060.303,1123.620,1265.128,1429.961,1079.575,929.392,1095.155,908.278,1272.766,1580.286,1184.989,1239.849,1230.659,1595.298,1368.982,1379.871,1201.654
369,566.283,1502.505,1322.950,1289.166,1671.398,1610.425,1250.471,1328.510,1499.405,1454.462,1009.833,1660.335,1600.570,1118.427,1174.193,1584.476,1228.434,1734.354,1621.715,1380.800,1495.203,986.792,1712.683,1497.039,1526.910,1504.111,1793.310,1362.812,1048.688,1128.993,1257.946,1427.804,1073.489,924.497,1104.396,906.570,1270.078,1581.682,1188.208,1237.796,1222.393,1587.034,1374.422,1382.788,1219.372
370,565.213,1516.896,1328.818,1292.969,1682.312,1604.032,1256.666,1323.801,1504.499,1451.029,1014.266,1667.077,1597.022,1117.220,1174.344,1594.413,1230.187,1733.277,1631.848,1385.185,1498.738,992.144,1718.465,1495.440,1532.428,1509.197,1787.778,1365.013,1057.482,1130.466,1266.640,1426.240,1084.178,933.431,1101.310,912.394,1272.814,1589.120,1186.864,1234.717,1229.231,1594.731,1380.145,1381.977,1215.875
371,567.002,1518.856,1325.667,1291.954,1683.379,1615.357,1262.189,1325.878,1501.838,1462.868,1005.011,1657.288,1605.147,1115.322,1172.012,1584.554,1226.060,1737.445,1623.973,1384.195,1499.121,989.415,1709.184,1497.324,1528.522,1513.063,1786.267,1370.885,1050.548,1119.734,1265.381,1414.973,1075.396,927.897,1107.078,901.701,1271.644,1581.018,1189.884,1233.109,1237.305,1599.506,1370.226,1380.979,1210.832
