 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23
3698,736.280,2049.804,1553.968,1714.367,1739.892,2161.939,2112.709,2119.606,1805.503,1732.767,1170.143,1722.007,1370.422,2025.759,3114.128,1741.450,1521.776,2089.346,1801.789,1744.327,1318.070,2874.281,1264.972
3699,738.100,2039.460,1553.275,1713.412,1735.525,2147.018,2107.048,2115.410,1797.806,1730.260,1169.248,1725.005,1373.056,2021.708,3099.705,1735.474,1522.411,2085.867,1796.414,1749.553,1315.738,2867.923,1262.219
3700,739.808,2046.630,1555.689,1718.643,1732.614,2160.533,2110.000,2124.420,1801.395,1729.146,1172.290,1724.261,1373.686,2019.018,3114.677,1742.180,1520.879,2093.222,1799.104,1749.044,1318.370,2875.271,1262.667
3701,731.440,2046.617,1548.586,1719.774,1735.541,2156.080,2109.909,2119.796,1798.286,1727.458,1164.601,1719.249,1367.188,2019.264,3108.154,1738.865,1521.375,2083.502,1794.430,1741.750,1313.063,2880.502,1254.266
3702,740.683,2053.140,1565.312,1726.712,1740.244,2165.038,2117.723,2121.292,1797.702,1729.560,1168.674,1726.111,1372.822,2030.660,3113.362,1746.776,1527.180,2088.922,1805.737,1746.271,1317.734,2877.387,1265.976
3703,738.552,2039.294,1556.612,1723.498,1731.717,2155.581,2111.632,2120.692,1800.510,1724.707,1167.414,1716.977,1367.895,2012.894,3112.354,1737.558,1522.653,2092.640,1797.365,1738.714,1313.268,2873.193,1259.359
3704,733.471,2049.639,1558.368,1719.729,1730.633,2158.899,2105.150,2115.558,1798.256,1723.338,1168.888,1716.487,1373.453,2014.438,3113.480,1739.131,1521.581,2085.392,1797.123,1744.835,1314.689,2875.903,1260.267
3705,736.344,2044.994,1558.095,1725.681,1736.800,2157.776,2109.742,2120.447,1798.038,1729.843,1172.476,1718.779,1373.705,2011.560,3112.875,1738.460,1524.975,2086.254,1807.802,1736.237,1310.347,2883.620,1262.236
3706,735.125,2042.005,1556.256,1721.494,1731.071,2155.078,2103.860,2116.826,1797.213,1723.270,1167.684,1710.627,1370.219,2011.985,3113.020,1738.963,1518.458,2082.558,1794.366,1743.493,1309.857,2881.396,1254.963
3707,739.648,2044.547,1554.569,1718.661,1734.746,2155.770,2102.811,2116.583,1798.856,1722.335,1167.468,1712.793,1366.587,2015.690,3115.009,1732.026,1519.407,2073.990,1794.782,1737.386,1310.260,2876.301,1254.229
3708,737.144,2045.514,1556.008,1721.607,1737.488,2156.073,2107.266,2111.847,1796.276,1727.231,1169.872,1712.958,1372.656,2014.074,3115.481,1732.689,1512.156,2084.977,1802.990,1739.072,1315.706,2878.548,1257.783
3709,737.025,2050.765,1559.084,1726.104,1743.338,2166.616,2107.204,2128.174,1795.888,1726.570,1177.998,1722.063,1370.753,2012.565,3114.063,1745.339,1517.247,2094.221,1815.939,1738.185,1314.940,2882.841,1258.667
3710,733.569,2045.713,1559.809,1725.016,1742.002,2171.970,2108.856,2127.308,1796.084,1725.509,1172.161,1711.652,1369.419,2003.381,3105.479,1739.467,1521.121,2099.739,1808.311,1736.881,1314.640,2876.827,1257.131
