Cell 121,Cell 255,Cell 370,Cell 372,Cell 375,Cell 378,Cell 388,Cell 390,Cell 396,Cell 409
175.08467,1001.2444,242.81633,156.9272,154.3698,130.91415,260.27783,86.79802,148.16782,318.23676
175.08467,896.21246,242.81633,156.9272,152.04842,130.91415,257.2202,86.79802,148.11595,318.23676
175.08467,813.1142,242.81633,156.9272,149.99165,130.91415,254.29282,86.79802,148.068,318.23676
175.08467,718.60834,242.81633,156.9272,148.16937,130.91415,251.49007,86.79802,148.02364,318.23676
175.08467,629.3904,242.81633,156.9272,146.55484,130.91415,248.80666,86.79802,147.98264,318.23676
175.08467,545.1643,242.81633,156.9272,145.12436,130.91415,246.23753,86.79802,147.94473,318.23676
175.08467,465.65073,242.81633,156.9272,143.85695,130.91415,243.77779,86.79802,147.90967,318.23676
175.08467,1673.7275,242.81633,156.9272,142.73402,130.91415,241.42282,86.79802,147.87726,318.23676
175.08467,1531.0691,242.81633,156.9272,141.7391,130.91415,239.16809,86.79802,147.84729,318.23676
175.08467,1396.393,242.81633,156.9272,140.85762,130.91415,237.00941,86.79802,147.81958,318.23676
175.08467,1269.2518,242.81633,156.9272,140.07661,130.91415,234.94263,86.79802,147.79396,318.23676
175.08467,1366.0969,242.81633,156.9272,139.38466,130.91415,232.96387,86.79802,147.77026,318.23676
175.08467,1423.0282,242.81633,156.9272,138.77158,130.91415,231.06937,86.79802,147.74835,318.23676
175.08467,1534.6986,242.81633,156.9272,138.22838,130.91415,229.25552,86.79802,147.7281,318.23676
175.08467,1399.8193,242.81633,156.9272,137.74712,130.91415,227.51895,86.79802,147.70938,318.23676
175.08467,1272.4865,242.81633,156.9272,137.32071,130.91415,225.8563,86.79802,147.69206,318.23676
175.08467,1152.2782,242.81633,156.9272,136.94292,130.91415,224.26447,86.79802,147.67604,318.23676
175.08467,1038.7959,242.81633,156.9272,136.6082,130.91415,222.74039,86.79802,147.66124,318.23676
175.08467,931.66296,242.81633,156.9272,136.31163,130.91415,221.28123,86.79802,147.64755,318.23676
175.08467,830.5243,242.81633,156.9272,136.04887,130.91415,219.88422,86.79802,147.63489,318.23676
175.08467,735.0443,242.81633,156.9272,135.81607,130.91415,218.54668,86.79802,147.62318,318.23676
175.08467,644.9068,242.81633,156.9272,135.6098,130.91415,217.2661,86.79802,147.61237,318.23676
175.08467,559.81256,242.81633,156.9272,135.42706,130.91415,216.04005,86.79802,147.60236,318.23676
175.08467,479.47934,242.81633,156.9272,135.26514,130.91415,214.86621,86.79802,168.51222,318.23676
175.08467,403.64096,242.81633,156.9272,135.12169,130.91415,213.74234,86.79802,166.92706,318.23676
175.08467,1300.2057,242.81633,156.9272,134.99458,130.91415,212.66635,86.79802,165.4614,318.23676
175.08467,1359.0183,242.81633,156.9272,134.88197,130.91415,211.63617,86.79802,164.10617,318.23676
175.08467,1233.9684,242.81633,156.9272,134.7822,130.91415,210.64987,86.79802,162.85309,318.23676
175.08467,1115.9154,242.81633,156.9272,134.69379,130.91415,209.70555,86.79802,161.69446,318.23676
175.08467,1004.46747,242.81633,156.9272,134.61546,130.91415,208.80145,86.79802,160.62314,318.23676
175.08467,899.2552,242.81633,156.9272,134.54607,130.91415,207.93585,86.79802,159.63257,318.23676
175.08467,799.92975,242.81633,156.9272,134.48459,130.91415,207.1071,86.79802,158.71664,318.23676
175.08467,706.16156,242.81633,156.9272,134.43011,130.91415,206.31366,86.79802,157.86975,318.23676
175.08467,1645.9625,242.81633,156.9272,134.38185,130.91415,205.55399,86.79802,157.08669,318.23676
175.08467,1504.8578,242.81633,156.9272,134.3391,130.91415,204.82668,86.79802,156.36264,318.23676
175.08467,1371.6482,242.81633,156.9272,134.30121,130.91415,204.13033,86.79802,155.69316,318.23676
175.08467,1245.8915,242.81633,156.9272,134.26764,130.91415,203.46364,86.79802,155.07413,318.23676
175.08467,1127.1713,242.81633,156.9272,134.23788,130.91415,202.82533,86.79802,154.50175,318.23676
175.08467,1015.09375,242.81633,156.9272,134.21155,130.91415,202.21422,86.79802,153.97253,318.23676
175.08467,909.287,242.81633,156.9272,134.18819,130.91415,201.62912,86.79802,153.48318,318.23676
175.08467,1064.5908,242.81633,156.9272,134.16751,130.91415,201.06894,86.79802,153.03072,318.23676
175.08467,956.01465,242.81633,156.9272,134.14919,130.91415,200.53261,86.79802,152.61235,318.23676
175.08467,853.51355,242.81633,156.9272,134.13295,130.91415,200.0191,86.79802,152.22551,318.23676
175.08467,756.7473,242.81633,156.9272,134.11856,130.91415,199.52748,86.79802,151.86783,318.23676
175.08467,1732.0691,242.81633,156.9272,134.1058,130.91415,199.0568,86.79802,151.53711,318.23676
175.08467,1586.1465,242.81633,156.9272,134.09451,130.91415,198.60614,86.79802,151.23131,318.23676
175.08467,1448.3882,242.81633,156.9272,134.08452,130.91415,198.1747,86.79802,150.94856,318.23676
175.08467,1318.338,242.81633,381.85037,134.07565,130.91415,197.7616,86.79802,150.68712,318.23676
175.08467,1195.5643,242.81633,376.39124,134.0678,130.91415,197.3661,86.79802,150.44537,318.23676
175.08467,1079.66,242.81633,365.33887,134.06084,130.91415,196.98746,86.79802,150.22186,318.23676
175.08467,970.24066,242.81633,354.84314,134.05467,130.91415,196.62494,86.79802,150.01518,318.23676
175.08467,866.9434,242.81633,344.87598,134.04921,130.91415,196.27785,86.79802,149.8241,318.23676
175.08467,769.4259,242.81633,335.41077,134.04436,130.91415,195.94553,86.79802,149.6474,318.23676
175.08467,677.36456,242.81633,326.42224,134.04007,130.91415,195.62737,86.79802,149.48401,318.23676
175.08467,590.4542,242.81633,317.88638,134.03627,130.91415,195.32275,86.79802,149.33295,318.23676
175.08467,508.4066,242.81633,309.7804,134.03291,130.91415,195.03111,86.79802,149.19327,318.23676
175.08467,856.4673,242.81633,302.08264,134.02992,130.91415,194.75189,86.79802,149.06412,318.23676
175.08467,759.53595,242.81633,294.77252,134.02728,130.91415,194.48456,86.79802,148.9447,318.23676
175.08467,668.0279,242.81633,287.83057,134.02495,130.91415,194.2286,86.79802,148.83427,318.23676
175.08467,581.64,242.81633,281.2382,134.02287,5268.4253,193.98355,86.79802,148.73218,318.23676
175.08467,500.08554,242.81633,274.9778,134.02103,4882.8257,193.74895,86.79802,148.63779,318.23676
175.08467,1472.0862,242.81633,269.0327,134.0194,4526.1675,193.52432,86.79802,148.55049,318.23676
175.08467,1340.7102,242.81633,263.38702,134.01796,4196.279,193.30927,86.79802,148.46979,318.23676
175.08467,1216.6846,242.81633,258.02563,134.01668,3891.1497,193.10336,86.79802,148.39516,318.23676
175.08467,1414.7528,242.81633,252.93427,134.01555,10261.113,192.90623,86.79802,148.32616,318.23676
175.08467,1286.5845,242.81633,248.0993,134.01454,9806.346,192.71748,86.79802,148.26236,318.23676
175.08467,1165.5876,242.81633,243.50783,134.01366,10575.832,192.53679,86.79802,148.20335,318.23676
175.08467,1051.3605,242.81633,239.14758,134.01286,9808.863,192.36378,86.79802,148.14882,318.23676
175.08467,987.8948,242.81633,235.00691,134.01216,9082.478,192.19814,86.79802,148.09837,318.23676
175.08467,1569.0736,242.81633,231.07477,134.01155,8443.575,192.03955,86.79802,148.05174,318.23676
175.08467,1432.2706,242.81633,227.34067,134.011,8237.783,191.88773,86.79802,148.00862,318.23676
175.08467,1303.1223,242.81633,223.7946,134.01051,7629.3164,191.74236,86.79802,147.96875,318.23676
175.08467,1181.1998,242.81633,220.42712,134.01009,7066.5186,191.60316,86.79802,147.93188,318.23676
175.08467,1402.9325,242.81633,217.22923,134.0097,9662.913,191.46992,86.79802,147.8978,318.23676
175.08467,1275.4255,242.81633,214.19238,134.00937,9373.471,191.34235,86.79802,147.86629,318.23676
175.08467,1155.0529,242.81633,211.30847,134.00906,8679.764,191.2202,86.79802,147.83714,318.23676
175.08467,1041.4153,242.81633,208.56981,134.0088,8038.1235,191.10326,86.79802,147.8102,318.23676
175.08467,1357.7146,242.81633,205.96906,134.00858,7444.642,190.99129,86.79802,147.78528,318.23676
175.08467,1232.7378,242.81633,203.49928,134.00836,8187.716,190.8841,86.79802,147.76224,318.23676
