Cell 19,Cell 25,Cell 59
29.536846,19.137222,4.635511
28.76405,19.13717,4.6355104
28.043907,19.137123,4.6355104
27.372831,19.137077,4.6355104
26.747478,19.137035,4.6355104
61.028107,19.136997,4.6355104
58.10971,19.136961,4.6355104
55.39016,19.136927,4.6355104
52.855904,19.136896,4.6355104
50.49431,19.136868,4.6355104
48.293617,19.136839,4.6355104
46.242867,19.136814,4.6355104
44.331837,19.136791,4.6355104
42.551014,19.136768,4.6355104
40.891525,19.13675,4.6355104
39.3451,19.13673,4.6355104
37.904037,19.136711,4.6355104
36.561157,19.136696,4.6355104
35.309776,39.242237,4.6355104
34.143654,37.849148,4.6355104
33.056984,36.552586,4.6355104
32.04435,35.345856,4.6355104
31.100712,34.22274,4.6355104
30.221367,33.17744,4.6355104
29.401932,32.20457,4.6355104
41.725655,31.299112,4.6355104
40.1224,30.456387,4.6355104
38.62838,29.672052,4.6355104
37.236153,28.942064,4.6355104
35.938778,28.262653,4.6355104
34.729797,27.63032,4.6355104
33.60319,27.041798,4.6355104
32.553345,26.494053,4.6355104
31.575027,25.98426,4.6355104
30.663364,25.50979,4.6355104
29.813816,25.068197,4.6355104
29.02215,24.6572,4.6355104
28.284424,24.27468,4.6355104
27.596958,23.918663,4.6355104
26.956333,23.587315,4.6355104
26.359356,23.278925,4.6355104
25.803055,22.991903,4.6355104
25.284653,22.724768,4.6355104
79.754135,33.078957,4.6355104
75.55988,63.733723,4.6355104
71.6514,60.643673,4.6355104
68.00921,57.76772,4.6355104
64.61517,55.091038,4.6355104
61.452385,52.59982,4.6355104
58.50508,50.281208,4.6355104
55.75859,48.12325,4.6355104
53.199226,46.114815,4.6355104
50.81424,72.25219,4.6355104
48.59175,68.57191,4.6355104
46.52069,65.14662,4.6355104
44.590733,61.958675,4.6355104
42.79227,58.99161,4.6355104
41.11634,56.23013,4.6355104
39.554604,53.659985,4.6355104
38.099266,51.267918,4.6355104
36.743088,49.04159,4.6355104
35.47931,46.969524,4.6355104
34.301636,45.041027,4.6355104
33.2042,43.24615,4.6355104
32.181538,41.57564,4.6355104
31.228552,40.020874,4.6355104
30.340496,38.573833,4.6355104
29.512947,37.22706,4.6355104
28.74178,35.9736,4.6355104
28.023155,34.806988,4.6355104
27.353493,33.72121,4.6355104
26.729454,32.71066,4.6355104
26.147936,31.770134,4.6355104
25.606037,30.894773,4.6355104
25.10106,30.080065,4.6355104
