Cell 2,Cell 4,Cell 9,Cell 15,Cell 20,Cell 28,Cell 31,Cell 39,Cell 40,Cell 41,Cell 58,Cell 59
54.98212,34.70455,58.920715,65.61585,6.943411,299.0611,35.439056,316.63016,95.02658,47.93607,51.728027,40.28562
52.495632,34.586082,57.004143,93.28898,6.261557,276.5941,34.977924,289.76794,91.629974,44.590317,50.329563,40.14663
50.13874,34.475697,55.187523,86.49575,5.6347795,255.14827,34.55166,264.4781,88.431244,41.440884,49.024685,40.013382
47.904694,34.372852,53.46563,80.18914,5.058629,234.67723,34.15762,240.66853,85.418884,38.47625,47.807117,39.885647
45.78709,34.27704,51.833534,74.33429,4.5290165,215.13669,33.793373,218.25262,82.58203,35.685574,46.671036,39.763195
77.07183,34.18776,66.10903,68.898834,4.042183,196.48433,33.45667,291.20267,79.910446,33.05865,45.61098,39.645805
73.434,34.10458,63.81761,63.852734,3.5946727,410.84967,33.145424,265.82883,77.394516,30.58587,44.62186,39.533268
75.06426,34.027084,61.645676,59.168102,3.1833096,383.30148,32.857708,344.75388,75.02516,28.258184,43.698933,39.42538
71.53106,33.954876,59.587006,54.819046,2.8051736,357.00552,32.59175,316.24548,72.79385,75.51323,42.837765,39.32196
168.53036,33.887604,57.635696,50.78152,2.4575818,331.9048,32.345898,306.60587,70.69255,126.639595,42.03422,39.222813
160.1256,33.824924,55.78614,47.033215,2.138066,307.94492,32.118637,409.6389,68.71366,118.67569,41.28445,39.12776
152.15889,33.766525,54.033035,61.250156,1.8443588,285.07413,31.908556,377.33255,66.85007,111.1791,40.584854,39.036644
144.60742,33.712116,52.37135,56.751957,1.5743756,284.77808,31.714361,346.91724,65.09505,104.1224,39.93207,38.949295
182.57436,33.661423,50.796318,52.575974,1.3262001,262.9603,31.53485,362.6957,63.442284,97.47977,39.32298,38.865555
173.43759,33.61419,49.30342,48.699127,46.10284,242.13419,31.368908,333.13712,61.885803,91.226906,38.75464,38.78528
164.77704,33.570183,47.888374,45.09999,42.257923,222.2547,31.215515,305.3087,60.420013,134.45021,38.224335,38.70832
156.56789,33.52918,46.547123,41.758667,56.87813,203.27878,31.07372,382.1578,59.039616,126.028015,40.635796,38.63455
148.7866,33.49098,45.275814,38.656693,52.162853,186.5447,30.942646,561.4757,57.739643,118.10001,39.979607,38.56382
