Cell 9,Cell 21,Cell 61,Cell 63,Cell 76
2.3876534,303.17413,-9.811624,71.07354,128.93126
2.387653,313.3084,-9.811625,71.07354,209.74599
2.387653,298.0122,-9.8116255,71.07354,197.5655
2.3876529,283.37103,-9.811626,71.07354,186.01656
2.3876526,269.3568,-9.811627,71.07354,175.06642
2.3876526,255.94267,-9.811628,71.07354,164.68404
2.3876524,243.10298,-9.811629,71.07354,154.83998
2.3876524,230.81313,-9.811629,71.07354,145.5063
2.3876522,219.04955,-9.81163,71.07354,136.6566
2.3876522,207.78969,-9.811631,71.07354,128.26573
2.387652,197.01201,-9.811632,71.07354,120.30992
2.387652,186.69585,-9.811632,71.07354,112.76662
2.3876517,176.82144,-9.811633,71.07354,105.614426
2.3876517,167.36989,-9.811633,71.07354,244.4055
2.3876517,158.32306,-9.811634,71.07354,230.42793
2.3876514,149.66364,-9.811634,71.07354,217.1751
2.3876514,141.37503,-9.811635,71.07354,204.60942
2.3876514,133.44136,-9.811635,71.07354,192.69524
2.3876512,125.84743,-9.811636,71.07354,181.39882
2.3876512,118.578674,-9.811636,71.07354,170.68813
2.3876512,111.621185,-9.811637,71.07354,170.89378
2.387651,104.961624,-9.811637,71.07354,160.72774
2.387651,98.58725,-9.811638,71.07354,151.08882
2.387651,92.48584,-9.811638,71.07354,278.14026
2.387651,86.64569,-9.811638,71.07354,262.41357
2.387651,81.05563,-9.811639,71.07354,247.50233
2.3876507,75.704956,-9.811639,71.07354,233.36421
2.3876507,70.583405,-9.811639,71.07354,219.95912
2.3876507,65.68117,-9.811639,71.07354,207.2491
2.3876507,60.988853,-9.81164,71.07354,195.19807
2.3876507,56.497475,-9.81164,71.07354,183.77187
2.3876507,52.198425,-9.81164,71.07354,172.93813
2.3876505,48.083473,-9.81164,71.07354,162.66609
2.3876505,44.14473,-9.811641,71.07354,152.92665
2.3876505,40.37465,-9.811641,71.07354,143.69218
2.3876505,36.766014,-9.811641,71.07354,134.93654
2.3876505,33.311905,-9.811641,71.07354,126.63486
2.3876505,30.005707,-9.811641,71.07354,118.76361
2.3876505,26.841087,-9.811642,71.07354,111.30049
2.3876505,23.811989,-9.811642,71.07354,104.22432
2.3876505,20.912598,-9.811642,71.07354,97.515045
2.3876503,18.137367,-9.811642,71.07354,91.15364
2.3876503,15.480976,-9.811642,71.07354,85.12207
2.3876503,12.938335,-9.811642,71.07354,79.40323
2.3876503,79.9718,-9.811642,71.07354,73.9809
2.3876503,74.667534,-9.811643,71.07354,68.83972
2.3876503,69.59041,-9.811643,71.07354,187.75258
2.3876503,64.7307,-9.811643,71.07354,176.71242
2.3876503,60.079086,-9.811643,71.07354,166.2447
2.3876503,55.626663,-9.811643,71.07354,156.31972
2.3876503,51.364906,-9.811643,71.07354,146.90932
2.3876503,47.285645,-9.811643,71.07354,137.98686
2.3876503,43.381065,-9.811643,71.07354,129.52702
2.3876503,39.643692,-9.811643,71.07354,252.03526
2.3876503,36.06636,-9.811643,71.07354,237.66212
2.3876503,32.642212,-9.811644,71.07354,224.0342
2.3876503,29.364693,-9.811644,71.07354,211.11287
2.3876503,26.227524,-9.811644,71.07354,198.86153
2.3876503,23.224693,-9.811644,71.07354,187.24538
2.3876503,20.350456,-9.811644,71.07354,176.23152
2.3876503,17.599297,-9.811644,71.07354,165.78874
2.38765,14.965946,-9.811644,71.07354,155.8874
2.38765,12.445362,-9.811644,71.07354,146.49944
2.38765,10.032715,-9.811644,71.07354,137.59822
2.38765,7.723381,-9.811644,71.07354,129.15855
2.38765,5.5129395,-9.811644,71.07354,121.15646
2.38765,3.397152,-9.811644,71.07354,113.569275
2.38765,55.088005,-9.811644,71.07354,106.37547
2.38765,50.84931,-9.811644,71.07354,99.554665
