Cell 0,Cell 4,Cell 5,Cell 7,Cell 9,Cell 16,Cell 17,Cell 19,Cell 25,Cell 30,Cell 38,Cell 39,Cell 47,Cell 49,Cell 56
58.174313,27.29514,47.003326,715.14026,156.61052,24.718267,49.87375,-161.07596,39.90493,24.760506,162.3339,67.97333,17.180902,38.693913,26.594227
56.178207,27.29514,47.003326,674.08417,145.79053,138.6871,48.06712,-166.97781,39.316044,24.758188,153.67474,66.89406,17.171658,38.150654,25.699667
54.29895,27.29514,47.003326,635.4559,135.87161,128.50555,94.06891,-172.57527,38.772915,24.756021,228.21724,65.88075,17.163048,37.640293,36.195885
52.529713,27.29514,47.003326,599.1118,126.77877,119.01371,89.56346,-146.70897,38.271988,24.753996,215.89754,64.92938,17.15503,37.160835,34.52659
50.864044,27.29514,47.003326,564.91693,118.443184,110.16482,85.33314,-153.35187,37.809986,24.7521,204.26233,64.03617,17.147564,36.710415,32.991985
49.295887,27.29514,47.003326,532.7442,110.80179,101.91534,81.361145,-159.65213,37.383884,24.750328,193.27359,63.197556,17.14061,36.28727,31.581202
47.81953,27.29514,47.003326,554.3271,103.796776,94.22466,77.63171,-165.62743,36.99089,24.748672,182.8954,62.4102,17.134136,35.889748,30.284252
46.429604,27.29514,47.003326,560.1546,97.375145,87.05496,74.13001,-171.29453,36.628433,24.747122,173.09383,61.670963,17.128105,35.516296,29.091953
45.121044,27.29514,47.003326,584.30695,91.48831,80.37091,70.84215,-176.66934,36.294144,24.74567,163.83684,60.976917,17.12249,35.165462,27.995857
43.88909,27.29514,47.003326,550.98755,86.091736,74.13964,67.75506,-181.76694,35.98583,24.744312,155.09418,60.32529,17.857222,34.835873,26.988207
42.729256,27.29514,47.003326,519.6385,81.14459,68.33047,64.85649,-186.6016,35.70147,24.743046,146.83728,59.713493,17.801474,34.52624,26.061857
63.24052,27.29514,47.003326,491.03125,76.60946,62.914795,62.134926,-191.18689,35.439205,24.74186,177.31871,59.139095,17.74956,34.23536,25.210255
126.85647,27.29514,47.003326,463.9511,148.00452,57.86597,59.579556,-195.53569,35.197323,24.74075,174.98393,58.5998,17.701216,33.962093,24.427368
120.83962,27.29514,47.003326,437.74887,137.90123,53.159157,57.18023,-199.66022,34.97423,24.739712,165.62193,58.093475,17.656195,33.940186,23.70765
115.17501,27.29514,47.003326,413.09607,128.63936,48.77117,54.92742,-203.57198,34.76848,24.73874,156.78009,57.618095,17.61427,33.684795,23.046005
109.84201,27.29514,47.003326,389.9011,120.14881,44.680424,108.6574,-207.28197,34.578712,24.737835,148.42952,57.171772,17.575228,33.44487,22.437746
104.82121,27.29514,47.003326,368.07776,125.127304,98.08289,103.26109,-210.80063,34.40369,24.736986,173.28331,56.75273,17.53887,33.21947,21.878569
100.09434,27.29514,47.003326,408.28415,116.92925,90.651825,98.19431,-214.1378,34.24227,24.73619,176.24432,56.3593,17.505013,33.007725,21.364508
95.64418,27.29514,47.003326,385.37375,109.41394,83.72414,93.43695,-217.30284,34.093395,24.735449,166.8123,55.98992,17.473482,32.808796,20.891928
91.454544,27.29514,47.003326,363.8181,102.524506,77.265724,88.97009,-220.30464,33.956085,24.734755,157.90433,55.64312,17.44412,32.621918,20.457476
87.51017,27.29514,47.003326,343.53717,96.20883,97.35442,84.77601,-223.15161,38.41941,24.734104,149.49129,55.317513,17.416777,32.446354,20.058083
83.79671,27.29514,47.003326,324.45554,99.86995,89.97271,80.838036,-225.85175,37.945953,24.733496,141.54568,55.011806,17.391314,32.281425,19.690914
80.30063,27.29514,47.003326,306.50226,93.775345,83.09101,77.14054,-228.41261,37.509285,24.73293,134.04155,54.724792,17.367601,32.12648,19.353373
77.009224,27.29514,47.003326,289.61063,88.18831,76.67548,73.668846,-230.84138,37.10655,24.732397,126.954346,54.45532,17.345518,55.723366,19.043066
114.96461,27.29514,47.003326,273.71786,83.06656,70.69453,70.40914,-233.1449,36.735107,24.731901,120.260925,54.202316,17.324955,54.14887,18.757797
109.64393,27.29514,47.003326,258.76492,78.37136,71.631134,67.348495,-235.32959,36.392525,24.731436,172.5627,53.964775,17.305805,69.60686,18.495546
104.63473,27.29514,47.003326,244.69624,74.06718,105.52101,64.474754,-237.40161,49.632797,24.731,163.33522,53.741756,17.287971,67.191635,18.254456
99.91877,27.29514,47.003326,231.45947,70.12145,97.586105,61.7765,-239.36674,48.288017,24.730595,238.31812,53.532368,17.271364,64.92266,18.032818
95.47889,27.29514,47.003326,219.00545,66.504326,90.1887,59.243015,-241.23053,47.04773,24.730213,225.4372,53.33578,17.2559,62.791092,17.829065
91.29893,27.29514,47.003326,207.28789,63.188435,83.29238,56.864243,-242.9982,45.90382,24.729858,213.27196,53.151207,17.241497,60.7886,48.689507
87.36366,27.29514,47.003326,196.26324,60.148693,76.86321,54.63073,-244.67467,44.848797,24.729527,201.78264,52.977917,17.228086,58.90737,46.012123
83.658775,27.29514,47.003326,185.89053,57.362106,70.86954,52.533607,-246.2647,43.87575,24.729216,190.93167,52.81522,17.215597,138.75601,43.550766
80.170784,27.29514,47.003326,176.1312,54.807587,65.28188,50.56455,-247.7727,42.978313,24.728924,180.6836,52.662464,17.203966,132.15338,41.288017
76.88696,27.29514,47.003326,166.94897,52.465816,71.80839,48.715733,-249.20293,42.150616,24.728651,202.1642,52.519047,17.193134,125.95058,39.207844
73.795395,27.29514,47.003326,158.30974,50.319065,66.15713,55.177517,-250.55939,41.387226,24.728397,191.29204,52.384396,17.183048,120.12338,37.295517
70.88481,27.29514,47.003326,150.18138,48.351097,60.88868,53.047005,-242.97525,40.68316,24.728159,181.02394,52.257977,44.21223,114.64908,35.53749
68.144615,27.29514,47.003326,142.53369,73.86968,65.12005,51.046593,-210.86635,40.033802,24.727938,171.32635,52.139282,42.344387,109.50627,33.92132
65.564835,27.29514,47.003326,135.33823,69.9404,59.921852,49.168343,-214.20012,39.4349,24.727728,162.16757,52.027843,40.60497,104.67488,32.435555
63.136078,27.29514,47.003326,128.56825,66.338356,55.075764,47.40479,-217.36195,38.882534,24.727533,153.51767,51.923218,38.985153,100.13608,31.069666
60.849503,27.29514,47.003326,122.19864,63.03629,50.557953,45.748928,-220.3607,38.373093,24.72735,167.04655,51.824986,37.47671,95.872116,29.813995
58.696785,27.29514,47.003326,116.20568,60.009224,46.346172,44.194183,-223.20477,37.903233,24.72718,158.12556,51.732758,36.07198,91.86637,28.65964
56.670086,27.29514,47.003326,110.56711,57.23425,42.419693,42.73438,-225.90216,37.469883,24.727022,167.93912,51.646168,34.76384,88.103195,27.598429
54.762035,27.29514,47.003326,111.25896,54.69038,38.759186,41.36372,-228.46043,37.07021,24.726873,158.96854,51.56487,33.545643,84.5679,26.62284
52.96569,27.29514,47.003326,105.9129,52.358368,35.346638,40.076763,-230.88675,36.70159,24.726732,150.49637,51.488544,32.4112,81.24669,25.725975
