Cell 2,Cell 8,Cell 20,Cell 23,Cell 24,Cell 26,Cell 27,Cell 29,Cell 30
73.564865,132.34756,140.44125,55.78833,-14.807311,22.847816,160.372,0.8944854,57.145866
71.83541,132.34756,140.44125,55.78833,-14.861121,22.847816,232.24585,-3.7031171,57.145866
70.183014,132.34756,140.44125,55.78833,-14.912674,22.847816,220.80223,-8.060027,57.145866
68.604225,132.34756,140.44125,55.78833,-14.962064,22.847816,210.00531,-12.188842,57.145866
67.09578,132.34756,140.44125,55.78833,-15.009381,22.847816,199.81854,-16.1015,57.145866
65.654526,132.34756,140.44125,55.78833,-15.054713,22.847816,190.20743,-19.809317,57.145866
64.27749,132.34756,140.44125,55.78833,-15.098144,22.847816,181.13945,-23.323023,57.145866
62.961792,132.34756,140.44125,55.78833,-15.139751,22.847816,172.58392,-26.652777,531.9675
61.704712,132.34756,140.44125,55.78833,-15.179614,22.847816,276.74503,-29.80821,506.79102
60.503643,132.34756,140.44125,55.78833,-15.217804,22.847816,262.7867,-32.798447,559.79834
59.35607,132.34756,140.44125,55.78833,-15.254392,22.847816,249.6172,-35.632137,1445.7775
58.259632,132.34756,140.44125,55.78833,-15.289445,22.847816,237.19191,-38.317474,1549.4568
57.212032,132.34756,140.44125,55.78833,-15.323027,22.847816,225.46878,-40.86223,1876.3081
56.21111,132.34756,140.44125,55.78833,-15.3552,22.847816,214.40814,-43.273758,1779.8505
55.254772,132.34756,140.44125,55.78833,-15.386023,22.847816,203.97256,-45.559036,2073.931
54.34105,132.34756,140.44125,55.78833,-15.415553,22.847816,194.12671,-47.724674,1966.9948
53.468025,132.34756,140.44125,55.78833,-15.443844,22.847816,184.83725,-49.776936,2018.4001
52.633896,132.34756,140.44125,55.78833,-15.470948,22.847816,176.07275,-51.721756,2007.3081
51.836926,132.34756,140.44125,55.78833,-15.496915,22.847816,167.80356,-53.56476,1988.2073
51.075462,132.34756,140.44125,55.78833,-15.521792,22.847816,160.00166,-55.311275,2096.3506
50.347927,132.34756,140.44125,55.78833,-15.545627,22.847816,152.64064,-56.96636,2076.4592
49.652794,132.34756,140.44125,55.78833,-15.56846,22.847816,145.69562,-58.53479,1969.389
48.988636,132.34756,140.44125,55.78833,-15.590336,22.847816,139.14308,-60.021114,1867.996
48.35407,132.34756,140.44125,55.78833,-15.611294,22.847816,132.96082,-61.429623,1771.9791
47.747765,132.34756,140.44125,55.78833,-15.631372,22.847816,127.12793,-62.764393,1681.0533
47.168476,132.34756,140.44125,55.78833,-15.650609,22.847816,121.624664,-64.029274,1594.9487
46.61499,132.34756,140.44125,55.78833,-15.669039,22.847816,116.432396,-65.22794,1513.4097
46.08617,132.34756,140.44125,55.78833,-15.686694,22.847816,111.53355,-66.36386,1436.1941
45.580902,132.34756,140.44125,55.78833,-15.703609,22.847816,106.91154,-67.440315,1363.0726
45.09815,132.34756,140.44125,55.78833,-15.719815,22.847816,102.55073,-68.4604,1293.8284
44.636898,132.34756,140.44125,55.78833,-15.735341,22.847816,98.43635,-69.42709,1228.2556
44.1962,132.34756,140.44125,55.78833,-15.750216,22.847816,130.88116,-70.34318,1166.1598
43.77513,132.34756,140.44125,55.78833,-15.764465,22.847816,125.1658,-71.211296,1107.3564
43.37282,132.34756,140.44125,55.78833,-15.778118,22.847816,119.773415,-72.033966,1051.671
42.98844,132.34756,140.44125,55.78833,-15.791197,22.847816,114.68576,-72.81357,998.93823
